_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
67a9ed034165e9d29c47378f,Iniciando em programação,livros,43.84,0.0,2020/01/01,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
67a9ed034165e9d29c4737a1,Iniciando em programação,livros,63.25,3.894137208,2022/01/01,Juliana Costa,RJ,5,cartao_credito,4,-22.25,-42.66
67a9ed034165e9d29c4737af,Ciência de dados com python,livros,86.13,5.2731755368,2021/02/01,Camila Ribeiro,RJ,4,cartao_credito,3,-22.25,-42.66
67a9ed034165e9d29c4737b1,Ciência de dados com python,livros,72.75,1.458157705,2021/02/01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
67a9ed034165e9d29c4737b4,Iniciando em programação,livros,61.73,0.0,2021/02/01,Beatriz Moraes,SP,4,cartao_credito,1,-22.19,-48.79
67a9ed034165e9d29c4737b7,Dashboards com Power BI,livros,57.63,9.3105595123,2022/02/01,Bianca Santos,SP,3,cartao_credito,1,-22.19,-48.79
67a9ed034165e9d29c4737bb,Ciência de dados com python,livros,79.28,1.8058605601,2022/02/01,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
67a9ed034165e9d29c4737bf,Dashboards com Power BI,livros,41.76,2.7546988942,2022/02/01,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
67a9ed034165e9d29c4737c0,Ciência de dados com python,livros,82.15,1.958679426,2023/02/01,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79
67a9ed034165e9d29c4737c7,Modelagem preditiva,livros,70.49,1.337819504,2023/02/01,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86
67a9ed034165e9d29c4737c8,Dashboards com Power BI,livros,40.98,0.0,2023/02/01,Beatriz Moraes,RJ,5,cartao_credito,1,-22.25,-42.66
67a9ed034165e9d29c4737e1,Ciência de dados com python,livros,50.51,10.2450858314,2022/03/01,Thiago Silva,MG,1,cartao_credito,6,-18.1,-44.38
67a9ed034165e9d29c4737e5,Modelagem preditiva,livros,71.64,1.3990535443,2023/03/01,Mariana Ferreira,SP,4,cartao_credito,2,-22.19,-48.79
67a9ed034165e9d29c4737e7,Dashboards com Power BI,livros,43.35,3.2481049178,2023/03/01,Rafael Costa,BA,5,cartao_credito,2,-13.29,-41.71
67a9ed034165e9d29c4737eb,Iniciando em programação,livros,65.86,4.4466946987,2020/04/01,Rafael Costa,SP,5,cartao_credito,4,-22.19,-48.79
67a9ed034165e9d29c4737f7,Iniciando em programação,livros,83.18,5.1160969115,2021/04/01,Isabella Pereira,SP,3,cartao_credito,4,-22.19,-48.79
67a9ed034165e9d29c4737f9,Dashboards com Power BI,livros,40.85,0.0,2021/04/01,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
67a9ed034165e9d29c4737ff,Ciência de dados com python,livros,75.04,1.5800933158,2022/04/01,Bianca Santos,RO,2,cartao_credito,7,-10.83,-63.34
67a9ed034165e9d29c47380c,Ciência de dados com python,livros,58.61,4.0606540096,2021/05/01,Beatriz Moraes,PR,4,cartao_credito,1,-24.89,-51.55
67a9ed034165e9d29c473818,Dashboards com Power BI,livros,46.58,0.0,2020/06/01,Rafael Costa,PR,1,cartao_credito,4,-24.89,-51.55
